,name,m,lambda_r,epsilon,sigma
5633,"2,2,4-trimethyl-3-ethylhexane",5,10.8084494792,228.892673427,3.67259148342e-10
5634,"2,2,4-trimethyl-3-ethylhexane",6,9.69707300045,193.924909948,3.39939659349e-10
5635,"2,2,4-trimethyl-3-isopropylhexane",1,133.918471466,920.492039731,7.37065231223e-10
5636,"2,2,4-trimethyl-3-isopropylhexane",2,30.3870442657,559.580424431,5.48182619583e-10
5637,"2,2,4-trimethyl-3-isopropylhexane",3,16.3935051553,378.903220355,4.62182795346e-10
5638,"2,2,4-trimethyl-3-isopropylhexane",4,12.8245345061,290.402106707,4.11275623307e-10
5639,"2,2,4-trimethyl-3-isopropylhexane",5,11.0386766137,238.159562381,3.75349110946e-10
5640,"2,2,4-trimethyl-3-isopropylhexane",6,9.87624873969,201.774075292,3.47459722854e-10
5641,"2,2,4-trimethyl-3-isopropylpentane",1,96.9997127729,867.099274268,7.15243816668e-10
5642,"2,2,4-trimethyl-3-isopropylpentane",2,25.2163097482,514.486977962,5.31602031659e-10
5643,"2,2,4-trimethyl-3-isopropylpentane",3,14.7267940105,345.573095074,4.49884795437e-10
5644,"2,2,4-trimethyl-3-isopropylpentane",4,11.8604188349,266.290103248,4.00519465936e-10
5645,"2,2,4-trimethyl-3-isopropylpentane",5,10.3199108024,218.170686343,3.65409758275e-10
5646,"2,2,4-trimethyl-3-isopropylpentane",6,9.31469612812,184.839511857,3.38159207033e-10
5647,"2,2,4-trimethyl-4-ethylheptane",1,132.742141735,929.579003959,7.38715332929e-10
5648,"2,2,4-trimethyl-4-ethylheptane",2,30.2533915762,564.836117724,5.49405628631e-10
5649,"2,2,4-trimethyl-4-ethylheptane",3,16.3500469166,382.361136873,4.63254843163e-10
5650,"2,2,4-trimethyl-4-ethylheptane",4,12.8003799763,293.094783215,4.12233219174e-10
5651,"2,2,4-trimethyl-4-ethylheptane",5,11.0207067035,240.361786301,3.76220211995e-10
5652,"2,2,4-trimethyl-4-ethylheptane",6,9.86228731228,203.640089353,3.48263650785e-10
5653,"2,2,4-trimethyl-4-ethylhexane",1,96.3500657947,881.955860485,7.15670347468e-10
5654,"2,2,4-trimethyl-4-ethylhexane",2,25.1046425243,522.942416562,5.31907926018e-10
5655,"2,2,4-trimethyl-4-ethylhexane",3,14.6907066786,351.215082716,4.5018373685e-10
5656,"2,2,4-trimethyl-4-ethylhexane",4,11.8386622683,270.666756741,4.00790655995e-10
5657,"2,2,4-trimethyl-4-ethylhexane",5,10.3036482971,221.75169523,3.65654039934e-10
5658,"2,2,4-trimethyl-4-ethylhexane",6,9.3019173612,187.873298765,3.3838296333e-10
5659,"2,2,4-trimethyl-5-ethylheptane",1,177.427254977,933.159417718,7.45230288902e-10
5660,"2,2,4-trimethyl-5-ethylheptane",2,34.3299199925,573.629574526,5.54239444456e-10
5661,"2,2,4-trimethyl-5-ethylheptane",3,17.697715317,391.761310107,4.66228819866e-10
5662,"2,2,4-trimethyl-5-ethylheptane",4,13.5269355001,299.008053055,4.14733087017e-10
5663,"2,2,4-trimethyl-5-ethylheptane",5,11.5604295149,245.395816582,3.78582599934e-10
5664,"2,2,4-trimethyl-5-ethylheptane",6,10.2798463585,207.890537869,3.50520060017e-10
5665,"2,2,4-trimethylheptane",1,118.110424972,843.492625531,6.91038786044e-10
5666,"2,2,4-trimethylheptane",2,28.4350362769,508.861080238,5.13865700911e-10
5667,"2,2,4-trimethylheptane",3,15.7621531797,343.317488653,4.33828766101e-10
5668,"2,2,4-trimethylheptane",4,12.4685566136,263.682287886,3.86099600766e-10
5669,"2,2,4-trimethylheptane",5,10.7736684172,216.166859215,3.52331683289e-10
5670,"2,2,4-trimethylheptane",6,9.66994715055,183.143322047,3.26117993468e-10
5671,"2,2,4-trimethylhexane",1,75.4573816122,769.995928846,6.70776361264e-10
5672,"2,2,4-trimethylhexane",2,21.093292347,442.07154891,4.98174927524e-10
5673,"2,2,4-trimethylhexane",3,13.36057308,296.880008975,4.23100870033e-10
5674,"2,2,4-trimethylhexane",4,11.0100990874,229.561851161,3.76837244387e-10
5675,"2,2,4-trimethylhexane",5,9.68239801736,187.928310159,3.43672281889e-10
5676,"2,2,4-trimethylhexane",6,8.81137100806,159.213477999,3.17960832084e-10
5677,"2,2,4-trimethylnonane",1,265.111720411,961.115200528,7.51613511601e-10
5678,"2,2,4-trimethylnonane",2,38.8363852715,594.752468556,5.58623798201e-10
5679,"2,2,4-trimethylnonane",3,19.249938456,410.597259014,4.69154364596e-10
5680,"2,2,4-trimethylnonane",4,14.3145447216,312.156118485,4.16976038229e-10
5681,"2,2,4-trimethylnonane",5,12.1418147468,256.360081732,3.8070616397e-10
5682,"2,2,4-trimethylnonane",6,10.7255011306,217.143344991,3.52549174266e-10
5683,"2,2,4-trimethyloctane",1,154.286186284,900.373818178,7.29165703787e-10
5684,"2,2,4-trimethyloctane",2,32.4511794553,550.91817496,5.42333177021e-10
5685,"2,2,4-trimethyloctane",3,17.0704633113,374.652836245,4.56665189888e-10
5686,"2,2,4-trimethyloctane",4,13.1943971899,286.507361877,4.0630663299e-10
5687,"2,2,4-trimethyloctane",5,11.313624857,235.056163146,3.70855600748e-10
5688,"2,2,4-trimethyloctane",6,10.0893604258,199.139328111,3.43335849463e-10
5689,"2,2,4-trimethylpentane",1,68.4139610418,719.509402205,6.59029833808e-10
5690,"2,2,4-trimethylpentane",2,19.5739012238,405.939190981,4.89411284788e-10
5691,"2,2,4-trimethylpentane",3,12.8252789741,273.334101202,4.16232006918e-10
5692,"2,2,4-trimethylpentane",4,10.6621265778,211.54669167,3.70759029945e-10
5693,"2,2,4-trimethylpentane",5,9.42018087204,173.129323759,3.38064666172e-10
5694,"2,2,4-trimethylpentane",6,8.6029496902,146.676714651,3.12743874524e-10
5695,"2,2,5,5,6-pentamethylheptane",1,106.221483396,898.408165987,7.34438487888e-10
5696,"2,2,5,5,6-pentamethylheptane",2,26.7175553983,537.590645305,5.46010310899e-10
5697,"2,2,5,5,6-pentamethylheptane",3,15.2101381473,361.735316188,4.61543317536e-10
5698,"2,2,5,5,6-pentamethylheptane",4,12.1481624191,278.327960752,4.10831431429e-10
5699,"2,2,5,5,6-pentamethylheptane",5,10.5347920658,228.098894287,3.74858517535e-10
5700,"2,2,5,5,6-pentamethylheptane",6,9.483243321,193.252304296,3.46934560819e-10
5701,"2,2,5,5-tetramethyl-3-ethylhexane",1,106.221483396,886.66839369,7.36634081774e-10
5702,"2,2,5,5-tetramethyl-3-ethylhexane",2,26.7175553983,530.565785109,5.47642601309e-10
5703,"2,2,5,5-tetramethyl-3-ethylhexane",3,15.2101381473,357.008410974,4.62923095016e-10
5704,"2,2,5,5-tetramethyl-3-ethylhexane",4,12.1481624191,274.690964778,4.12059606414e-10
5705,"2,2,5,5-tetramethyl-3-ethylhexane",5,10.5347920658,225.118256776,3.75979151983e-10
5706,"2,2,5,5-tetramethyl-3-ethylhexane",6,9.483243321,190.727017756,3.47971716977e-10
5707,"2,2,5,5-tetramethylheptane",1,96.3500657947,858.492506461,7.20589581474e-10
5708,"2,2,5,5-tetramethylheptane",2,25.1046425243,509.030174914,5.35564050052e-10
5709,"2,2,5,5-tetramethylheptane",3,14.6907066786,341.871436175,4.53278121233e-10
5710,"2,2,5,5-tetramethylheptane",4,11.8386622683,263.465999628,4.03545531939e-10
5711,"2,2,5,5-tetramethylheptane",5,10.3036482971,215.852263338,3.68167400721e-10
5712,"2,2,5,5-tetramethylheptane",6,9.3019173612,182.875160062,3.40708873557e-10
5713,"2,2,5,5-tetramethylhex-3-ene",1,248.276458021,929.225917476,7.16057619673e-10
5714,"2,2,5,5-tetramethylhex-3-ene",2,38.1871384988,574.678844557,5.32268963641e-10
5715,"2,2,5,5-tetramethylhex-3-ene",3,19.0223116728,396.117546866,4.47100534495e-10
5716,"2,2,5,5-tetramethylhex-3-ene",4,14.2016731095,301.290433089,3.97434781079e-10
5717,"2,2,5,5-tetramethylhex-3-ene",5,12.0589566896,247.418073552,3.6285519454e-10
5718,"2,2,5,5-tetramethylhex-3-ene",6,10.6622511969,209.575422216,3.36010737546e-10
5719,"2,2,5,5-tetramethylhexane",1,107.782538291,816.806538165,7.17916936007e-10
5720,"2,2,5,5-tetramethylhexane",2,26.9565926151,489.360377142,5.33747323248e-10
5721,"2,2,5,5-tetramethylhexane",3,15.2869288454,329.392592481,4.51096918312e-10
5722,"2,2,5,5-tetramethylhexane",4,12.1932541143,253.380462418,4.01522985138e-10
5723,"2,2,5,5-tetramethylhexane",5,10.5684341601,207.663069232,3.66371100365e-10
5724,"2,2,5,5-tetramethylhexane",6,9.50958018714,175.938568898,3.3908414571e-10
5725,"2,2,5,5-tetramethyloctane",1,132.742141735,909.683139427,7.42415338097e-10
5726,"2,2,5,5-tetramethyloctane",2,30.2533915762,552.746878581,5.52157437853e-10
5727,"2,2,5,5-tetramethyloctane",3,16.3500469166,374.177426452,4.6557514875e-10
5728,"2,2,5,5-tetramethyloctane",4,12.8003799763,286.821648734,4.14297972636e-10
5729,"2,2,5,5-tetramethyloctane",5,11.0207067035,235.217300981,3.78104587026e-10
5730,"2,2,5,5-tetramethyloctane",6,9.86228731228,199.281561875,3.50007999724e-10
5731,"2,2,5,6-tetramethylheptane",1,120.011901219,880.05040999,7.23248398279e-10
5732,"2,2,5,6-tetramethylheptane",2,28.6887097339,531.492191996,5.37832215337e-10
5733,"2,2,5,6-tetramethylheptane",3,15.8438608487,358.743406703,4.53981219136e-10
5734,"2,2,5,6-tetramethylheptane",4,12.5152469873,275.455380249,4.04026519948e-10
5735,"2,2,5,6-tetramethylheptane",5,10.8084494792,225.829295604,3.68696491352e-10
5736,"2,2,5,6-tetramethylheptane",6,9.69707300045,191.329522077,3.4127008201e-10
5737,"2,2,5,6-tetramethyloctane",1,177.427254977,939.252919279,7.44489155647e-10
5738,"2,2,5,6-tetramethyloctane",2,34.3299199925,577.375357553,5.5368825204e-10
5739,"2,2,5,6-tetramethyloctane",3,17.697715317,394.319499104,4.6576515422e-10
5740,"2,2,5,6-tetramethyloctane",4,13.5269355001,300.960566209,4.14320633998e-10
5741,"2,2,5,6-tetramethyloctane",5,11.5604295149,246.998243524,3.78206098659e-10
5742,"2,2,5,6-tetramethyloctane",6,10.2798463585,209.248056523,3.50171467003e-10
5743,"2,2,5,7-tetramethyloctane",1,177.427254977,929.111801947,7.45969047829e-10
5744,"2,2,5,7-tetramethyloctane",2,34.3299199925,571.141433627,5.54788871047e-10
5745,"2,2,5,7-tetramethyloctane",3,17.697715317,390.062029976,4.66691000091e-10
5746,"2,2,5,7-tetramethyloctane",4,13.5269355001,297.711093834,4.15144218684e-10
5747,"2,2,5,7-tetramethyloctane",5,11.5604295149,244.331402551,3.78957895034e-10
5748,"2,2,5,7-tetramethyloctane",6,10.2798463585,206.988804463,3.50867536264e-10
5749,"2,2,5-trimethyl-3-ethylheptane",1,177.427254977,939.252919279,7.44489155647e-10
5750,"2,2,5-trimethyl-3-ethylheptane",2,34.3299199925,577.375357553,5.5368825204e-10
5751,"2,2,5-trimethyl-3-ethylheptane",3,17.697715317,394.319499104,4.6576515422e-10
5752,"2,2,5-trimethyl-3-ethylheptane",4,13.5269355001,300.960566209,4.14320633998e-10
5753,"2,2,5-trimethyl-3-ethylheptane",5,11.5604295149,246.998243524,3.78206098659e-10
5754,"2,2,5-trimethyl-3-ethylheptane",6,10.2798463585,209.248056523,3.50171467003e-10
5755,"2,2,5-trimethyl-3-ethylhexane",1,120.011901219,882.040059518,7.22546840857e-10
5756,"2,2,5-trimethyl-3-ethylhexane",2,28.6887097339,532.693808604,5.37310513273e-10
5757,"2,2,5-trimethyl-3-ethylhexane",3,15.8438608487,359.554466662,4.53540853289e-10
5758,"2,2,5-trimethyl-3-ethylhexane",4,12.5152469873,276.078139651,4.03634610606e-10
5759,"2,2,5-trimethyl-3-ethylhexane",5,10.8084494792,226.339858574,3.68338852454e-10
5760,"2,2,5-trimethyl-3-ethylhexane",6,9.69707300045,191.762086722,3.40939046975e-10
5761,"2,2,5-trimethyl-3-isopropylhexane",1,133.918471466,902.562055876,7.407413875e-10
5762,"2,2,5-trimethyl-3-isopropylhexane",2,30.3870442657,548.680527916,5.50916712703e-10
5763,"2,2,5-trimethyl-3-isopropylhexane",3,16.3935051553,371.522680024,4.64487959275e-10
5764,"2,2,5-trimethyl-3-isopropylhexane",4,12.8245345061,284.745452592,4.13326884716e-10
5765,"2,2,5-trimethyl-3-isopropylhexane",5,11.0386766137,233.520524861,3.77221186757e-10
5766,"2,2,5-trimethyl-3-isopropylhexane",6,9.87624873969,197.843779585,3.49192698698e-10
5767,"2,2,5-trimethyl-4-ethylheptane",1,177.427254977,931.142969134,7.45969047829e-10
5768,"2,2,5-trimethyl-4-ethylheptane",2,34.3299199925,572.390027969,5.54788871047e-10
5769,"2,2,5-trimethyl-4-ethylheptane",3,17.697715317,390.914759642,4.66691000091e-10
5770,"2,2,5-trimethyl-4-ethylheptane",4,13.5269355001,298.361931552,4.15144218684e-10
5771,"2,2,5-trimethyl-4-ethylheptane",5,11.5604295149,244.865544865,3.78957895034e-10
5772,"2,2,5-trimethyl-4-ethylheptane",6,10.2798463585,207.441310681,3.50867536264e-10
5773,"2,2,5-trimethyl-4-ethylhexane",1,120.011901219,874.081461405,7.23947763341e-10
5774,"2,2,5-trimethyl-4-ethylhexane",2,28.6887097339,527.88734217,5.38352287088e-10
5775,"2,2,5-trimethyl-4-ethylhexane",3,15.8438608487,356.310226824,4.54420208844e-10
5776,"2,2,5-trimethyl-4-ethylhexane",4,12.5152469873,273.587102041,4.04417204577e-10
5777,"2,2,5-trimethyl-4-ethylhexane",5,10.8084494792,224.297606693,3.69053012631e-10
5778,"2,2,5-trimethyl-4-ethylhexane",6,9.69707300045,190.031828141,3.41600082564e-10
5779,"2,2,5-trimethyl-4-isopropylhexane",1,133.918471466,902.562055876,7.407413875e-10
5780,"2,2,5-trimethyl-4-isopropylhexane",2,30.3870442657,548.680527916,5.50916712703e-10
5781,"2,2,5-trimethyl-4-isopropylhexane",3,16.3935051553,371.522680024,4.64487959275e-10
5782,"2,2,5-trimethyl-4-isopropylhexane",4,12.8245345061,284.745452592,4.13326884716e-10
5783,"2,2,5-trimethyl-4-isopropylhexane",5,11.0386766137,233.520524861,3.77221186757e-10
5784,"2,2,5-trimethyl-4-isopropylhexane",6,9.87624873969,197.843779585,3.49192698698e-10
5785,"2,2,5-trimethyl-5-ethylheptane",1,132.742141735,919.631071693,7.4094249595e-10
5786,"2,2,5-trimethyl-5-ethylheptane",2,30.2533915762,558.791498152,5.5106203922e-10
5787,"2,2,5-trimethyl-5-ethylheptane",3,16.3500469166,378.269281662,4.64651516564e-10
5788,"2,2,5-trimethyl-5-ethylheptane",4,12.8003799763,289.958215974,4.13476066778e-10
5789,"2,2,5-trimethyl-5-ethylheptane",5,11.0207067035,237.789543641,3.77354483488e-10
5790,"2,2,5-trimethyl-5-ethylheptane",6,9.86228731228,201.460825614,3.49313635657e-10
5791,"2,2,5-trimethylheptane",1,118.110424972,848.458519878,6.95298597196e-10
5792,"2,2,5-trimethylheptane",2,28.4350362769,511.856898204,5.17033353563e-10
5793,"2,2,5-trimethylheptane",3,15.7621531797,345.338701791,4.36503042354e-10
5794,"2,2,5-trimethylheptane",4,12.4685566136,265.234664686,3.88479657311e-10
5795,"2,2,5-trimethylheptane",5,10.7736684172,217.43949842,3.54503582268e-10
5796,"2,2,5-trimethylheptane",6,9.66994715055,184.221541773,3.28128301852e-10
5797,"2,2,5-trimethylhexane",1,86.9166363963,780.001926585,6.80243828384e-10
5798,"2,2,5-trimethylhexane",2,23.3932618095,457.082048874,5.05408769981e-10
5799,"2,2,5-trimethylhexane",3,14.1331322206,306.662191242,4.28363234826e-10
5800,"2,2,5-trimethylhexane",4,11.4976551269,236.701845057,3.81437565724e-10
5801,"2,2,5-trimethylhexane",5,10.048441709,193.860629372,3.47948235259e-10
5802,"2,2,5-trimethylhexane",6,9.10096218009,164.241335424,3.21963489955e-10
5803,"2,2,5-trimethylnonane",1,265.111720411,961.115200528,7.51613511601e-10
5804,"2,2,5-trimethylnonane",2,38.8363852715,594.752468556,5.58623798201e-10
5805,"2,2,5-trimethylnonane",3,19.249938456,410.597259014,4.69154364596e-10
5806,"2,2,5-trimethylnonane",4,14.3145447216,312.156118485,4.16976038229e-10
5807,"2,2,5-trimethylnonane",5,12.1418147468,256.360081732,3.8070616397e-10
5808,"2,2,5-trimethylnonane",6,10.7255011306,217.143344991,3.52549174266e-10
5809,"2,2,5-trimethyloctane",1,154.286186284,899.355180529,7.29870790751e-10
5810,"2,2,5-trimethyloctane",2,32.4511794553,550.294893848,5.42857601101e-10
5811,"2,2,5-trimethyloctane",3,17.0704633113,374.228972871,4.57106774936e-10
5812,"2,2,5-trimethyloctane",4,13.1943971899,286.183221859,4.06699522437e-10
5813,"2,2,5-trimethyloctane",5,11.313624857,234.790232426,3.71214209838e-10
5814,"2,2,5-trimethyloctane",6,10.0893604258,198.914031892,3.43667847568e-10
5815,"2,2,6,6-tetramethylheptane",1,96.3500657947,852.640535186,7.2128353588e-10
5816,"2,2,6,6-tetramethylheptane",2,25.1046425243,505.560336867,5.36079818031e-10
5817,"2,2,6,6-tetramethylheptane",3,14.6907066786,339.54104679,4.53714644821e-10
5818,"2,2,6,6-tetramethylheptane",4,11.8386622683,261.670066116,4.03934161205e-10
5819,"2,2,6,6-tetramethylheptane",5,10.3036482971,214.380892027,3.68521959539e-10
5820,"2,2,6,6-tetramethylheptane",6,9.3019173612,181.628579369,3.41036988798e-10
5821,"2,2,6,6-tetramethyloctane",1,132.742141735,911.678467833,7.42415338097e-10
5822,"2,2,6,6-tetramethyloctane",2,30.2533915762,553.959291453,5.52157437853e-10
5823,"2,2,6,6-tetramethyloctane",3,16.3500469166,374.998159315,4.6557514875e-10
5824,"2,2,6,6-tetramethyloctane",4,12.8003799763,287.450772611,4.14297972636e-10
5825,"2,2,6,6-tetramethyloctane",5,11.0207067035,235.733234213,3.78104587026e-10
5826,"2,2,6,6-tetramethyloctane",6,9.86228731228,199.718672495,3.50007999724e-10
5827,"2,2,6,7-tetramethyloctane",1,177.427254977,941.284086466,7.43745630366e-10
5828,"2,2,6,7-tetramethyloctane",2,34.3299199925,578.623951895,5.53135280637e-10
5829,"2,2,6,7-tetramethyloctane",3,17.697715317,395.172228769,4.65299992083e-10
5830,"2,2,6,7-tetramethyloctane",4,13.5269355001,301.611403927,4.13906849776e-10
5831,"2,2,6,7-tetramethyloctane",5,11.5604295149,247.532385837,3.77828382216e-10
5832,"2,2,6,7-tetramethyloctane",6,10.2798463585,209.700562741,3.49821748895e-10
5833,"2,2,6-trimethyl-3-ethylheptane",1,177.427254977,939.252919279,7.44489155647e-10
5834,"2,2,6-trimethyl-3-ethylheptane",2,34.3299199925,577.375357553,5.5368825204e-10
5835,"2,2,6-trimethyl-3-ethylheptane",3,17.697715317,394.319499104,4.6576515422e-10
5836,"2,2,6-trimethyl-3-ethylheptane",4,13.5269355001,300.960566209,4.14320633998e-10
5837,"2,2,6-trimethyl-3-ethylheptane",5,11.5604295149,246.998243524,3.78206098659e-10
5838,"2,2,6-trimethyl-3-ethylheptane",6,10.2798463585,209.248056523,3.50171467003e-10
5839,"2,2,6-trimethyl-4-ethylheptane",1,177.427254977,918.970684616,7.48171252569e-10
5840,"2,2,6-trimethyl-4-ethylheptane",2,34.3299199925,564.907509702,5.56426685223e-10
5841,"2,2,6-trimethyl-4-ethylheptane",3,17.697715317,385.804560849,4.68068737057e-10
5842,"2,2,6-trimethyl-4-ethylheptane",4,13.5269355001,294.461621459,4.16369782356e-10
5843,"2,2,6-trimethyl-4-ethylheptane",5,11.5604295149,241.66456158,3.80076631629e-10
5844,"2,2,6-trimethyl-4-ethylheptane",6,10.2798463585,204.729552403,3.51903346199e-10
5845,"2,2,6-trimethyl-5-ethylheptane",1,177.427254977,933.159417718,7.45230288902e-10
5846,"2,2,6-trimethyl-5-ethylheptane",2,34.3299199925,573.629574526,5.54239444456e-10
5847,"2,2,6-trimethyl-5-ethylheptane",3,17.697715317,391.761310107,4.66228819866e-10
5848,"2,2,6-trimethyl-5-ethylheptane",4,13.5269355001,299.008053055,4.14733087017e-10
5849,"2,2,6-trimethyl-5-ethylheptane",5,11.5604295149,245.395816582,3.78582599934e-10
5850,"2,2,6-trimethyl-5-ethylheptane",6,10.2798463585,207.890537869,3.50520060017e-10
5851,"2,2,6-trimethylheptane",1,125.025332393,846.839381121,7.03944727206e-10
5852,"2,2,6-trimethylheptane",2,29.3318263839,512.780207166,5.23510045735e-10
5853,"2,2,6-trimethylheptane",3,16.0513979173,346.513384133,4.41694635951e-10
5854,"2,2,6-trimethylheptane",4,12.6330037723,265.880927904,3.93072584088e-10
5855,"2,2,6-trimethylheptane",5,10.8961392341,218.006291851,3.58714304833e-10
5856,"2,2,6-trimethylheptane",6,9.76539588782,184.701159501,3.32042193666e-10
5857,"2,2,6-trimethylnonane",1,265.111720411,959.043896729,7.5235859832e-10
5858,"2,2,6-trimethylnonane",2,38.8363852715,593.47071477,5.59177571073e-10
5859,"2,2,6-trimethylnonane",3,19.249938456,409.712378968,4.69619444961e-10
5860,"2,2,6-trimethylnonane",4,14.3145447216,311.483389395,4.17389393369e-10
5861,"2,2,6-trimethylnonane",5,12.1418147468,255.807598938,3.81083564193e-10
5862,"2,2,6-trimethylnonane",6,10.7255011306,216.675378368,3.52898662006e-10
5863,"2,2,6-trimethyloctane",1,154.286186284,905.437902491,7.28458406526e-10
5864,"2,2,6-trimethyloctane",2,32.4511794553,554.016772488,5.41807108984e-10
5865,"2,2,6-trimethyloctane",3,17.0704633113,376.760042732,4.56222220565e-10
5866,"2,2,6-trimethyloctane",4,13.1943971899,288.118800823,4.05912511918e-10
5867,"2,2,6-trimethyloctane",5,11.313624857,236.378218724,3.70495867495e-10
5868,"2,2,6-trimethyloctane",6,10.0893604258,200.259372172,3.43002810616e-10
5869,"2,2,7,7-tetramethyloctane",1,132.742141735,911.678467833,7.42415338097e-10
5870,"2,2,7,7-tetramethyloctane",2,30.2533915762,553.959291453,5.52157437853e-10
5871,"2,2,7,7-tetramethyloctane",3,16.3500469166,374.998159315,4.6557514875e-10
5872,"2,2,7,7-tetramethyloctane",4,12.8003799763,287.450772611,4.14297972636e-10
5873,"2,2,7,7-tetramethyloctane",5,11.0207067035,235.733234213,3.78104587026e-10
5874,"2,2,7,7-tetramethyloctane",6,9.86228731228,199.718672495,3.50007999724e-10
5875,"2,2,7-trimethylnonane",1,265.111720411,969.400415722,7.50116136316e-10
5876,"2,2,7-trimethylnonane",2,38.8363852715,599.879483701,5.57510899808e-10
5877,"2,2,7-trimethylnonane",3,19.249938456,414.136779196,4.68219708501e-10
5878,"2,2,7-trimethylnonane",4,14.3145447216,314.847034844,4.16145332548e-10
5879,"2,2,7-trimethylnonane",5,12.1418147468,258.570012906,3.79947715656e-10
5880,"2,2,7-trimethylnonane",6,10.7255011306,219.015211486,3.51846820713e-10
5881,"2,2,7-trimethyloctane",1,154.286186284,897.332457197,7.29870790751e-10
5882,"2,2,7-trimethyloctane",2,32.4511794553,549.05723564,5.42857601101e-10
5883,"2,2,7-trimethyloctane",3,17.0704633113,373.387301314,4.57106774936e-10
5884,"2,2,7-trimethyloctane",4,13.1943971899,285.539572395,4.06699522437e-10
5885,"2,2,7-trimethyloctane",5,11.313624857,234.262169997,3.71214209838e-10
5886,"2,2,7-trimethyloctane",6,10.0893604258,198.466657971,3.43667847568e-10
5887,"2,2,8-trimethylnonane",1,265.111720411,969.400415722,7.50116136316e-10
5888,"2,2,8-trimethylnonane",2,38.8363852715,599.879483701,5.57510899808e-10
5889,"2,2,8-trimethylnonane",3,19.249938456,414.136779196,4.68219708501e-10
5890,"2,2,8-trimethylnonane",4,14.3145447216,314.847034844,4.16145332548e-10
5891,"2,2,8-trimethylnonane",5,12.1418147468,258.570012906,3.79947715656e-10
5892,"2,2,8-trimethylnonane",6,10.7255011306,219.015211486,3.51846820713e-10
5893,"2,2-dibromo-3-methylbutane",1,111.875324886,939.53141998,6.76914436392e-10
5894,"2,2-dibromo-3-methylbutane",2,27.5634551274,564.562400717,5.03307558728e-10
5895,"2,2-dibromo-3-methylbutane",3,15.4818736302,380.356317548,4.25180948398e-10
5896,"2,2-dibromo-3-methylbutane",4,12.3069655824,292.399048252,3.78432575872e-10
5897,"2,2-dibromo-3-methylbutane",5,10.6532375716,239.66922452,3.45316083113e-10
5898,"2,2-dibromo-3-methylbutane",6,9.57590723131,203.055369539,3.19608538485e-10
5899,"2,2-dibromobutane",1,101.776608741,888.749168568,6.5320219233e-10
5900,"2,2-dibromobutane",2,26.0132962809,529.797180156,4.85559478998e-10
5901,"2,2-dibromobutane",3,14.9837165751,356.166570268,4.1066372918e-10
5902,"2,2-dibromobutane",4,12.0142150267,274.238462644,3.65569671087e-10
5903,"2,2-dibromobutane",5,10.434807542,224.717151387,3.33543406655e-10
5904,"2,2-dibromobutane",6,9.40488818054,190.386665728,3.08684178231e-10
5905,"2,2-dibromopentane",1,146.870871183,958.408834027,6.85438783327e-10
5906,"2,2-dibromopentane",2,31.7508124525,585.237745684,5.09809861833e-10
5907,"2,2-dibromopentane",3,16.8394562511,397.389771974,4.29457738532e-10
5908,"2,2-dibromopentane",4,13.0695122893,304.122400323,3.82120101413e-10
5909,"2,2-dibromopentane",5,11.2208339089,249.475392516,3.48766523328e-10
5910,"2,2-dibromopentane",6,10.0175445828,211.357678138,3.22874810656e-10
5911,"2,2-dibromopropane",1,77.1845448347,817.683515921,6.1745920872e-10
5912,"2,2-dibromopropane",2,21.4545196219,471.16625697,4.58600049411e-10
5913,"2,2-dibromopropane",3,13.4844354715,316.299818403,3.89361028131e-10
5914,"2,2-dibromopropane",4,11.0894402875,244.516630368,3.46775753659e-10
5915,"2,2-dibromopropane",5,9.74206801728,200.185040195,3.16269196598e-10
5916,"2,2-dibromopropane",6,8.85868659695,169.597552893,2.92614490767e-10
5917,"2,2-dichloro-1,1,1-trifluoroethane",1,61.4308670651,594.204086644,5.53439694854e-10
5918,"2,2-dichloro-1,1,1-trifluoroethane",2,18.0091516349,327.96107833,4.11138252732e-10
5919,"2,2-dichloro-1,1,1-trifluoroethane",3,12.2424365996,221.823961363,3.5010462848e-10
5920,"2,2-dichloro-1,1,1-trifluoroethane",4,10.2740320975,171.784965256,3.11871964897e-10
5921,"2,2-dichloro-1,1,1-trifluoroethane",5,9.12665549989,140.547618912,2.84301507166e-10
5922,"2,2-dichloro-1,1,1-trifluoroethane",6,8.36869644798,119.077768391,2.62985381545e-10
5923,"2,2-dichloro-3,3-dimethylbutane",1,126.075443297,904.234879928,6.60974343729e-10
5924,"2,2-dichloro-3,3-dimethylbutane",2,29.4619710206,547.814034088,4.91559289966e-10
5925,"2,2-dichloro-3,3-dimethylbutane",3,16.0934758283,370.276891465,4.1470022949e-10
5926,"2,2-dichloro-3,3-dimethylbutane",4,12.6567335564,284.074857548,3.69046271745e-10
5927,"2,2-dichloro-3,3-dimethylbutane",5,10.9138048721,232.929940377,3.36790708217e-10
5928,"2,2-dichloro-3,3-dimethylbutane",6,9.77914838859,197.344763158,3.11750924296e-10
5929,"2,2-dichloro-3-methylbutane",1,55.732998293,809.935123898,6.08378397201e-10
5930,"2,2-dichloro-3-methylbutane",2,16.7065252793,437.436713545,4.52331371984e-10
5931,"2,2-dichloro-3-methylbutane",3,11.724226723,297.320981365,3.85489247837e-10
5932,"2,2-dichloro-3-methylbutane",4,9.92118013406,230.288917916,3.43384172352e-10
5933,"2,2-dichloro-3-methylbutane",5,8.85871421144,188.372719253,3.12948834413e-10
5934,"2,2-dichloro-3-methylbutane",6,8.15400012183,159.610021598,2.89470024123e-10
