,name,m,lambda_r,epsilon,sigma
69,(1S)-(-)-b-pinene,3,13.9992958721,345.969724104,4.26725152103e-10
70,(1S)-(-)-b-pinene,4,11.4144434527,267.1341203,3.79995585397e-10
71,(1S)-(-)-b-pinene,5,9.98607119553,218.767584271,3.4662005593e-10
72,(1S)-(-)-b-pinene,6,9.05173120873,185.342303693,3.20726316235e-10
73,(2-methyl-1-propenyl)benzene,1,84.8076560303,929.779567517,6.58793964643e-10
74,(2-methyl-1-propenyl)benzene,2,22.9876991524,543.125221796,4.89432955341e-10
75,(2-methyl-1-propenyl)benzene,3,13.9992958721,364.369752244,4.14968567133e-10
76,(2-methyl-1-propenyl)benzene,4,11.4144434527,281.341361535,3.69526433612e-10
77,(2-methyl-1-propenyl)benzene,5,9.98607119553,230.402503242,3.37070423996e-10
78,(2-methyl-1-propenyl)benzene,6,9.05173120873,195.199535023,3.1189007546e-10
79,(3-chloropropyl)cyclohexane,1,339.822201501,1015.36113161,7.08450521929e-10
80,(3-chloropropyl)cyclohexane,2,41.0146861665,629.030601059,5.26252697191e-10
81,(3-chloropropyl)cyclohexane,3,20.0219804536,436.52005314,4.41744893603e-10
82,(3-chloropropyl)cyclohexane,4,14.6925855125,331.439610344,3.92404079513e-10
83,(3-chloropropyl)cyclohexane,5,12.4173563556,272.23779183,3.58299650877e-10
84,(3-chloropropyl)cyclohexane,6,10.9352031663,230.566173988,3.31823180566e-10
85,(3-methylpentyl)benzene,1,188.223592579,1030.70398598,7.1958221425e-10
86,(3-methylpentyl)benzene,2,35.0750369915,634.555908703,5.35131449145e-10
87,(3-methylpentyl)benzene,3,17.9497216587,434.12934475,4.50002796809e-10
88,(3-methylpentyl)benzene,4,13.6579931297,331.101333482,4.00256568036e-10
89,(3-methylpentyl)benzene,5,11.6575562553,271.77016923,3.65381003454e-10
90,(3-methylpentyl)benzene,6,10.3545978182,230.229175959,3.38308055398e-10
91,(4-methylpentyl)benzene,1,188.223592579,1030.70398598,7.1958221425e-10
92,(4-methylpentyl)benzene,2,35.0750369915,634.555908703,5.35131449145e-10
93,(4-methylpentyl)benzene,3,17.9497216587,434.12934475,4.50002796809e-10
94,(4-methylpentyl)benzene,4,13.6579931297,331.101333482,4.00256568036e-10
95,(4-methylpentyl)benzene,5,11.6575562553,271.77016923,3.65381003454e-10
96,(4-methylpentyl)benzene,6,10.3545978182,230.229175959,3.38308055398e-10
97,(<+->)-2-chlorooctane,1,269.679714596,972.204765503,6.93462927233e-10
98,(<+->)-2-chlorooctane,2,39.0001846618,601.693412332,5.15385792147e-10
99,(<+->)-2-chlorooctane,3,19.3075598199,415.552994586,4.32822833536e-10
100,(<+->)-2-chlorooctane,4,14.3430012683,315.887952242,3.846702735e-10
101,(<+->)-2-chlorooctane,5,12.1626683167,259.429288997,3.51212705917e-10
102,(<+->)-2-chlorooctane,6,10.7414058994,219.741338362,3.25238887564e-10
103,"(E)-2,2,5,5-tetramethylhex-3-ene",1,248.276458021,929.225917476,7.16057619673e-10
104,"(E)-2,2,5,5-tetramethylhex-3-ene",2,38.1871384988,574.678844557,5.32268963641e-10
105,"(E)-2,2,5,5-tetramethylhex-3-ene",3,19.0223116728,396.117546866,4.47100534495e-10
106,"(E)-2,2,5,5-tetramethylhex-3-ene",4,14.2016731095,301.290433089,3.97434781079e-10
107,"(E)-2,2,5,5-tetramethylhex-3-ene",5,12.0589566896,247.418073552,3.6285519454e-10
108,"(E)-2,2,5,5-tetramethylhex-3-ene",6,10.6622511969,209.575422216,3.36010737546e-10
109,(R)-(+)-propylene oxide,1,49.3880245116,626.443100404,4.6812596774e-10
110,(R)-(+)-propylene oxide,2,15.2476987294,328.919340684,3.48593381372e-10
111,(R)-(+)-propylene oxide,3,11.0976221083,224.936689086,2.9730753464e-10
112,(R)-(+)-propylene oxide,4,9.48518205467,174.166039685,2.64798357979e-10
113,(R)-(+)-propylene oxide,5,8.52611604705,142.439686212,2.41240741257e-10
114,(R)-(+)-propylene oxide,6,7.88636969072,120.713812281,2.23138639497e-10
115,(R)-(-)-sec-butylamine,1,79.902137097,681.500105715,5.79326510875e-10
116,(R)-(-)-sec-butylamine,2,22.012827625,394.781466183,4.30316951494e-10
117,(R)-(-)-sec-butylamine,3,13.6737870156,264.913975329,3.65162848448e-10
118,(R)-(-)-sec-butylamine,4,11.2098684167,204.708197254,3.25207203597e-10
119,(R)-(-)-sec-butylamine,5,9.83255916216,167.612335779,2.96615597678e-10
120,(R)-(-)-sec-butylamine,6,8.93036168854,142.002156769,2.744404858e-10
121,(R)-2-amino-6-methylheptane,1,775.828507178,948.25971309,7.12661120964e-10
122,(R)-2-amino-6-methylheptane,2,45.7357095564,586.188058585,5.28423819713e-10
123,(R)-2-amino-6-methylheptane,3,21.7245896702,411.043048069,4.43234015063e-10
124,(R)-2-amino-6-methylheptane,4,15.5136417556,311.847261363,3.93253895111e-10
125,(R)-2-amino-6-methylheptane,5,12.9989749251,256.022065704,3.59112032105e-10
126,(R)-2-amino-6-methylheptane,6,11.3746465019,216.765379056,3.32614662777e-10
127,(R)-2-aminooctane,1,775.828507178,948.25971309,7.12661120964e-10
128,(R)-2-aminooctane,2,45.7357095564,586.188058585,5.28423819713e-10
129,(R)-2-aminooctane,3,21.7245896702,411.043048069,4.43234015063e-10
130,(R)-2-aminooctane,4,15.5136417556,311.847261363,3.93253895111e-10
131,(R)-2-aminooctane,5,12.9989749251,256.022065704,3.59112032105e-10
132,(R)-2-aminooctane,6,11.3746465019,216.765379056,3.32614662777e-10
133,(R)-2-heptylamine,1,140.10981784,815.679539908,6.77962531185e-10
134,(R)-2-heptylamine,2,31.0627527082,497.004182617,5.04241096185e-10
135,(R)-2-heptylamine,3,16.6138622827,336.991242605,4.24948825172e-10
136,(R)-2-heptylamine,4,12.946236683,258.090739104,3.78126045064e-10
137,(R)-2-heptylamine,5,11.1291921089,211.687794503,3.45108245132e-10
138,(R)-2-heptylamine,6,9.94651184261,179.345337455,3.19477016178e-10
139,(S)-(+)-2-methylbutyronitrile,1,115.361214867,830.748363765,5.76679493099e-10
140,(S)-(+)-2-methylbutyronitrile,2,28.0583875603,500.3389275,4.28807399111e-10
141,(S)-(+)-2-methylbutyronitrile,3,15.6409605665,337.354741218,3.62115765196e-10
142,(S)-(+)-2-methylbutyronitrile,4,12.3989576536,259.206380199,3.22286780987e-10
143,(S)-(+)-2-methylbutyronitrile,5,10.7218086368,212.482332882,2.94092933671e-10
144,(S)-(+)-2-methylbutyronitrile,6,9.62947375661,180.021770702,2.72206462882e-10
145,(S)-(+)-sec-butylamine,1,79.902137097,681.500105715,5.79326510875e-10
146,(S)-(+)-sec-butylamine,2,22.012827625,394.781466183,4.30316951494e-10
147,(S)-(+)-sec-butylamine,3,13.6737870156,264.913975329,3.65162848448e-10
148,(S)-(+)-sec-butylamine,4,11.2098684167,204.708197254,3.25207203597e-10
149,(S)-(+)-sec-butylamine,5,9.83255916216,167.612335779,2.96615597678e-10
150,(S)-(+)-sec-butylamine,6,8.93036168854,142.002156769,2.744404858e-10
151,(S)-(-)-2-methylbutylamine,1,109.386129765,739.004151831,6.10959398029e-10
152,(S)-(-)-2-methylbutylamine,2,27.1977540941,443.281257156,4.54244316119e-10
153,(S)-(-)-2-methylbutylamine,3,15.3643932627,298.481166145,3.83836394982e-10
154,(S)-(-)-2-methylbutylamine,4,12.2385695639,229.54502664,3.41645907283e-10
155,(S)-(-)-2-methylbutylamine,5,10.6022352241,188.136901093,3.11741090968e-10
156,(S)-(-)-2-methylbutylamine,6,9.53602751249,159.395477046,2.88526982698e-10
157,(S)-(-)-propylene oxide,1,49.3880245116,626.443100404,4.6812596774e-10
158,(S)-(-)-propylene oxide,2,15.2476987294,328.919340684,3.48593381372e-10
159,(S)-(-)-propylene oxide,3,11.0976221083,224.936689086,2.9730753464e-10
160,(S)-(-)-propylene oxide,4,9.48518205467,174.166039685,2.64798357979e-10
161,(S)-(-)-propylene oxide,5,8.52611604705,142.439686212,2.41240741257e-10
162,(S)-(-)-propylene oxide,6,7.88636969072,120.713812281,2.23138639497e-10
163,(S)-(1-methylpropyl)benzene,1,108.578904447,934.52855483,6.69832570384e-10
164,(S)-(1-methylpropyl)benzene,2,27.0769085077,560.227860135,4.98007234902e-10
165,(S)-(1-methylpropyl)benzene,3,15.3255762568,377.15959963,4.20853608937e-10
166,(S)-(1-methylpropyl)benzene,4,12.2158837759,290.088493743,3.7459876782e-10
167,(S)-(1-methylpropyl)benzene,5,10.5853147446,237.753328274,3.4180677214e-10
168,(S)-(1-methylpropyl)benzene,6,9.52278999634,201.432021273,3.16351567484e-10
169,(S)-2-amino-6-methylheptane,1,775.828507178,948.25971309,7.12661120964e-10
170,(S)-2-amino-6-methylheptane,2,45.7357095564,586.188058585,5.28423819713e-10
171,(S)-2-amino-6-methylheptane,3,21.7245896702,411.043048069,4.43234015063e-10
172,(S)-2-amino-6-methylheptane,4,15.5136417556,311.847261363,3.93253895111e-10
173,(S)-2-amino-6-methylheptane,5,12.9989749251,256.022065704,3.59112032105e-10
174,(S)-2-amino-6-methylheptane,6,11.3746465019,216.765379056,3.32614662777e-10
175,(S)-2-aminooctane,1,775.828507178,948.25971309,7.12661120964e-10
176,(S)-2-aminooctane,2,45.7357095564,586.188058585,5.28423819713e-10
177,(S)-2-aminooctane,3,21.7245896702,411.043048069,4.43234015063e-10
178,(S)-2-aminooctane,4,15.5136417556,311.847261363,3.93253895111e-10
179,(S)-2-aminooctane,5,12.9989749251,256.022065704,3.59112032105e-10
180,(S)-2-aminooctane,6,11.3746465019,216.765379056,3.32614662777e-10
181,(S)-2-chlorooctane,1,269.679714596,972.204765503,6.93462927233e-10
182,(S)-2-chlorooctane,2,39.0001846618,601.693412332,5.15385792147e-10
183,(S)-2-chlorooctane,3,19.3075598199,415.552994586,4.32822833536e-10
184,(S)-2-chlorooctane,4,14.3430012683,315.887952242,3.846702735e-10
185,(S)-2-chlorooctane,5,12.1626683167,259.429288997,3.51212705917e-10
186,(S)-2-chlorooctane,6,10.7414058994,219.741338362,3.25238887564e-10
187,(S)-2-heptylamine,1,140.10981784,815.679539908,6.77962531185e-10
188,(S)-2-heptylamine,2,31.0627527082,497.004182617,5.04241096185e-10
189,(S)-2-heptylamine,3,16.6138622827,336.991242605,4.24948825172e-10
190,(S)-2-heptylamine,4,12.946236683,258.090739104,3.78126045064e-10
191,(S)-2-heptylamine,5,11.1291921089,211.687794503,3.45108245132e-10
192,(S)-2-heptylamine,6,9.94651184261,179.345337455,3.19477016178e-10
193,"(Z,E)-1,3-cyclooctadiene",1,62.6738677851,841.549831436,6.05390380357e-10
194,"(Z,E)-1,3-cyclooctadiene",2,18.2908830802,466.469362072,4.49682242071e-10
195,"(Z,E)-1,3-cyclooctadiene",3,12.3502445438,315.212548892,3.82848216973e-10
196,"(Z,E)-1,3-cyclooctadiene",4,10.3465277866,244.087413496,3.41038591356e-10
197,"(Z,E)-1,3-cyclooctadiene",5,9.18157662605,199.712676877,3.10904609992e-10
198,"(Z,E)-1,3-cyclooctadiene",6,8.41260265687,169.203084131,2.87597834184e-10
199,(bromomethyl)benzene,1,74.2035385531,936.216971177,6.25992662341e-10
200,(bromomethyl)benzene,2,20.8280819227,536.002298535,4.64900317489e-10
201,(bromomethyl)benzene,3,13.2688861511,360.081626499,3.94936821598e-10
202,(bromomethyl)benzene,4,10.9510818074,278.481557283,3.51760430139e-10
203,(bromomethyl)benzene,5,9.63798538448,227.964070737,3.20792608774e-10
204,(bromomethyl)benzene,6,8.77612660116,193.131880751,2.96787982195e-10
205,(fluoromethyl)benzene,1,71.40703122,786.385954047,5.89690226052e-10
206,(fluoromethyl)benzene,2,20.2280534351,447.211817469,4.37919088066e-10
207,(fluoromethyl)benzene,3,13.0588608085,300.719077255,3.72220422246e-10
208,(fluoromethyl)benzene,4,10.8149784711,232.658042097,3.31542300362e-10
209,(fluoromethyl)benzene,5,9.5354702944,190.430832897,3.02332295955e-10
210,(fluoromethyl)benzene,6,8.6946856264,161.333845099,2.79698740088e-10
211,(±)-a-pinene,1,84.8076560303,882.827343572,6.77458431873e-10
212,(±)-a-pinene,2,22.9876991524,515.698358554,5.03299210721e-10
213,(±)-a-pinene,3,13.9992958721,345.969724104,4.26725152103e-10
214,(±)-a-pinene,4,11.4144434527,267.1341203,3.79995585397e-10
215,(±)-a-pinene,5,9.98607119553,218.767584271,3.4662005593e-10
216,(±)-a-pinene,6,9.05173120873,185.342303693,3.20726316235e-10
217,"1,1'-[methylenebis(thio)]bisethane",1,94.4469297719,909.558083399,6.34119711668e-10
218,"1,1'-[methylenebis(thio)]bisethane",2,24.7729443011,538.180026378,4.71267286889e-10
219,"1,1'-[methylenebis(thio)]bisethane",3,14.5833453863,361.343484433,3.98966604581e-10
220,"1,1'-[methylenebis(thio)]bisethane",4,11.7737101835,278.560195548,3.55206283572e-10
221,"1,1'-[methylenebis(thio)]bisethane",5,10.2550846448,228.20402313,3.24057568955e-10
222,"1,1'-[methylenebis(thio)]bisethane",6,9.26373788075,193.339444396,2.99882722724e-10
223,"1,1,1,2,2,3-hexafluoropropane",1,140.10981784,578.860508015,6.44170221982e-10
224,"1,1,1,2,2,3-hexafluoropropane",2,31.0627527082,352.707257641,4.79107744043e-10
225,"1,1,1,2,2,3-hexafluoropropane",3,16.6138622827,239.151422031,4.0376771053e-10
226,"1,1,1,2,2,3-hexafluoropropane",4,12.946236683,183.158371692,3.59278761262e-10
227,"1,1,1,2,2,3-hexafluoropropane",5,11.1291921089,150.227752777,3.27906697861e-10
228,"1,1,1,2,2,3-hexafluoropropane",6,9.94651184261,127.275391952,3.03553029796e-10
229,"1,1,1,2,2-pentafluoropropane",1,69.1431657615,503.751365546,5.53406546948e-10
230,"1,1,1,2,2-pentafluoropropane",2,19.7343301556,284.783876778,4.10970750175e-10
231,"1,1,1,2,2-pentafluoropropane",3,12.8830476849,191.686571652,3.4947057514e-10
232,"1,1,1,2,2-pentafluoropropane",4,10.7000739478,148.343382949,3.11288421897e-10
233,"1,1,1,2,2-pentafluoropropane",5,9.44881897082,121.407619102,2.83844528167e-10
234,"1,1,1,2,2-pentafluoropropane",6,8.62575150757,102.857443764,2.62587259157e-10
235,"1,1,1,2,3,3-hexafluoropropane",1,101.776608741,575.582853764,5.56327494645e-10
236,"1,1,1,2,3,3-hexafluoropropane",2,26.0132962809,343.113876957,4.13547430832e-10
237,"1,1,1,2,3,3-hexafluoropropane",3,14.9837165751,230.665049466,3.49759272517e-10
238,"1,1,1,2,3,3-hexafluoropropane",4,12.0142150267,177.605743581,3.11352995477e-10
239,"1,1,1,2,3,3-hexafluoropropane",5,10.434807542,145.534132531,2.84076462018e-10
240,"1,1,1,2,3,3-hexafluoropropane",6,9.40488818054,123.300593974,2.62904040324e-10
241,"1,1,1,2,3-pentafluoropropane",1,79.438131878,546.166476193,5.6422312827e-10
242,"1,1,1,2,3-pentafluoropropane",2,21.9183965305,316.110279897,4.19091556168e-10
243,"1,1,1,2,3-pentafluoropropane",3,13.6419259461,212.134026086,3.55667425874e-10
244,"1,1,1,2,3-pentafluoropropane",4,11.1896778543,163.935048635,3.16753643909e-10
245,"1,1,1,2,3-pentafluoropropane",5,9.81739424192,134.225342278,2.88902445425e-10
